epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
96,8110.03,1.21986,2.33144,1.87562,1.81547,0,0.88179,0.78737,0.86329,0.66029,0.843,0.74928,0.79254,0.53074,1.15178,1.75573,1.57388,1.58245,0,0.00040595,0.00040595,0.00040595
97,8193.99,1.20613,2.25603,1.88584,1.81172,0,0.86377,0.81434,0.86479,0.66027,0.82288,0.75346,0.78626,0.52489,1.17386,1.78826,1.52595,1.59355,0,0.00040496,0.00040496,0.00040496
98,8278.53,1.21972,2.27613,1.88376,1.81263,0,0.88195,0.7937,0.86256,0.6618,0.84984,0.74932,0.78806,0.53037,1.13877,1.77299,1.51458,1.59257,0,0.00040397,0.00040397,0.00040397
99,8362.68,1.21881,2.26128,1.83482,1.82057,0,0.893,0.79234,0.86674,0.66933,0.84429,0.74506,0.79573,0.53435,1.11655,1.76382,1.51649,1.57292,0,0.00040298,0.00040298,0.00040298
100,8448.77,1.23326,2.35329,1.89499,1.84022,0,0.88726,0.77057,0.86074,0.66715,0.84651,0.72923,0.7902,0.53374,1.14044,1.76867,1.47414,1.57053,0,0.00040199,0.00040199,0.00040199
101,8533.59,1.20061,2.19262,1.83051,1.8027,0,0.89498,0.77821,0.87322,0.67511,0.85579,0.73355,0.79484,0.5321,1.11993,1.78135,1.47939,1.56929,0,0.000401,0.000401,0.000401
102,8619.61,1.22527,2.31414,1.8584,1.84467,0,0.88241,0.78286,0.86607,0.66421,0.87075,0.72243,0.7961,0.5459,1.11956,1.71706,1.44976,1.55386,0,0.00040001,0.00040001,0.00040001
103,8705.69,1.2168,2.32097,1.85316,1.82691,0,0.87117,0.79562,0.86909,0.66479,0.86478,0.73858,0.80996,0.53966,1.12636,1.69907,1.52273,1.56878,0,0.00039902,0.00039902,0.00039902
104,8790.15,1.22734,2.28923,1.84748,1.83233,0,0.88886,0.79316,0.86645,0.6654,0.84307,0.74298,0.78925,0.53354,1.12823,1.7235,1.47682,1.57767,0,0.00039803,0.00039803,0.00039803
105,8874.92,1.2216,2.30854,1.81926,1.81967,0,0.88293,0.7751,0.86143,0.66436,0.86145,0.72804,0.78906,0.53692,1.109,1.70834,1.46199,1.57306,0,0.00039704,0.00039704,0.00039704
106,8962.73,1.18695,2.27641,1.81888,1.79974,0,0.87471,0.78718,0.85823,0.65414,0.83547,0.74856,0.79306,0.53581,1.14711,1.74965,1.55345,1.61976,0,0.00039605,0.00039605,0.00039605
107,9049.85,1.1689,2.21982,1.83385,1.79641,0,0.89764,0.76085,0.85702,0.65801,0.85038,0.73152,0.78844,0.53105,1.14732,1.74323,1.5131,1.59417,0,0.00039506,0.00039506,0.00039506
108,9135.91,1.20379,2.32648,1.82793,1.80841,0,0.8907,0.78125,0.86313,0.67373,0.84965,0.74183,0.79714,0.54027,1.10381,1.70728,1.46054,1.54412,0,0.00039407,0.00039407,0.00039407
109,9224.33,1.20308,2.21848,1.77624,1.81006,0,0.90103,0.79818,0.87249,0.67047,0.85524,0.75569,0.79822,0.54103,1.11639,1.66672,1.42969,1.56462,0,0.00039308,0.00039308,0.00039308
110,9311.52,1.19891,2.23894,1.84414,1.80873,0,0.89607,0.79242,0.87432,0.6735,0.85387,0.74985,0.8052,0.54722,1.11861,1.69656,1.4509,1.55582,0,0.00039209,0.00039209,0.00039209
111,9397.1,1.20771,2.31556,1.82376,1.81201,0,0.89098,0.7912,0.86436,0.66384,0.84996,0.74934,0.79576,0.52676,1.14173,1.74773,1.4814,1.5595,0,0.0003911,0.0003911,0.0003911
112,9484.17,1.18968,2.23763,1.8433,1.80402,0,0.89305,0.79044,0.87074,0.66919,0.84041,0.75628,0.79762,0.53921,1.11429,1.7029,1.46703,1.58845,0,0.00039011,0.00039011,0.00039011
